final_version_tag,latest_data_date,latest_bd,target_name,forecast_month,forecast_month_avg_bd,forecast_change_vs_latest_bd,direction,model_name,model_type,feature_set,feature_set_design,sample_scope,param_set,variant,official_role,MAE,RMSE,RW_MAE,RW_RMSE,MTD_MAE,MTD_RMSE,MAE_improvement_vs_RW,RMSE_improvement_vs_RW,MAE_improvement_vs_MTD,RMSE_improvement_vs_MTD,是否跑赢随机游走,是否跑赢MTD基准,direction_accuracy,legacy_direction_accuracy,report_direction_accuracy,report_direction_accuracy_source,report_direction_threshold,aggregate_direction_accuracy,aggregate_direction_accuracy_source,aggregate_direction_threshold,aggregate_direction_hit_count,aggregate_direction_total_count,aggregate_backtest_source,n_target_months,official_backtest_source,legacy_backtest_status,strict_backtest_status,official_direction_threshold,m3_source_type,m3_source_latest_data_date,m3_is_daily_refreshed
BD_SHORT_TERM_FINAL_V1_9_DAILY_ATTRIBUTION_20260819,2026-09-07,1.1149999999999949,m1_avg,2026-10,3.5921937165784437,2.477193716578449,widen,ExtraTrees,ExtraTreesRegressor,core,core,ex_stress,ExtraTrees_p1,ex_stress_ExtraTrees_core,equal_official_target,1.9825241705087184,2.585863332350868,1.6783089748415836,2.016586398853428,1.9763022115907793,2.233236863585664,-0.18126292609252706,-0.28229731878639786,-0.0031482831327354845,-0.15789926922441633,False,False,0.4444444444444444,0.5333333333333333,0.5297157622739018,strict_daily_asof,0.5,0.4444444444444444,strict_target_month_aggregate,0.5,8,18,strict_target_month_aggregate,18,strict_no_leakage,leakage_detected_not_official,official,0.5,daily_refreshed_v17,2026-09-07,True
BD_SHORT_TERM_FINAL_V1_9_DAILY_ATTRIBUTION_20260819,2026-09-07,1.1149999999999949,m2_avg,2026-11,5.283269131400915,4.16826913140092,widen,ExtraTrees,ExtraTreesRegressor,enhanced,enhanced,ex_stress,standard_deep,ex_stress_ExtraTrees_enhanced_standard_deep,equal_official_target,1.887850695414397,2.4177183547316297,2.0870130936696154,2.4784510736275083,1.9019494085896602,2.553841717370932,0.09542939565608055,0.024504304136611036,0.007412769820054129,0.05330140928993641,True,True,0.7333333333333333,0.7692307692307693,0.639751552795031,strict_daily_asof,0.5,0.7333333333333333,strict_target_month_aggregate,0.5,11,15,strict_target_month_aggregate,15,strict_no_leakage,leakage_detected_not_official,official,0.5,daily_refreshed_v17,2026-09-07,True
BD_SHORT_TERM_FINAL_V1_9_DAILY_ATTRIBUTION_20260819,2026-09-07,1.1149999999999949,m3_avg,2026-12,2.2196897915967693,1.1046897915967744,widen,ExtraTrees,ExtraTreesRegressor,enhanced,enhanced,ex_stress,ExtraTrees_p1,ex_stress_ExtraTrees_enhanced,equal_official_target,1.491284526599098,1.849937021658849,2.2035954009758356,2.649100768099099,2.2250917492437523,2.759406641328832,0.323249392361819,0.30167359281455397,0.32978739995510536,0.32958883480544743,True,True,0.7692307692307693,0.75,0.7328519855595668,strict_daily_asof,0.5,0.7692307692307693,strict_target_month_aggregate,0.5,10,13,strict_target_month_aggregate,13,strict_no_leakage,leakage_detected_not_official,official,0.5,daily_refreshed_v17,2026-09-07,True
