target_name,预测对象,forecast_month,预测月份,forecast_month_avg_bd,预测值,forecast_change_vs_latest_bd,较当前变化,direction,预测方向,model_name,model_type,模型,feature_set,变量集,feature_set_design,sample_scope,param_set,variant,是否跑赢随机游走,是否跑赢MTD基准,official_role,is_extreme_or_extrapolated,latest_data_date,latest_bd,m3_source_type,m3_source_latest_data_date,m3_is_daily_refreshed,legacy_direction_accuracy,official_backtest_source,legacy_backtest_status,strict_backtest_status,official_direction_threshold,report_style_modified,report_text_added,official_direction_accuracy,aggregate_direction_accuracy,aggregate_direction_threshold,aggregate_direction_accuracy_source,aggregate_direction_hit_count,aggregate_direction_total_count,aggregate_backtest_source,report_direction_accuracy,report_direction_accuracy_source,report_direction_threshold,RW_MAE,RW_RMSE,MTD_MAE,MTD_RMSE,MAE_improvement_vs_RW,RMSE_improvement_vs_RW,MAE_improvement_vs_MTD,RMSE_improvement_vs_MTD
m1_avg,M+1,2026-10,2026-10,2.7521483756660827,2.7521483756660827,10.502148375666083,10.502148375666083,widen,上升,ExtraTrees,ExtraTreesRegressor,ExtraTrees,core,core,core,ex_stress,ExtraTrees_p1,ex_stress_ExtraTrees_core,False,False,equal_official_target,False,2026-09-09,-7.75,daily_refreshed_v17,2026-09-09,True,0.5333333333333333,strict_no_leakage,leakage_detected_not_official,official,0.5,False,False,0.5555555555555556,0.5555555555555556,0.5,strict_target_month_aggregate,10.0,18.0,strict_target_month_aggregate,0.6330749354005168,strict_daily_asof,0.5,1.6783089748415836,2.016586398853428,1.9763022115907796,2.233236863585664,-0.0385508354384311,-0.2345359312328365,0.1180452171115326,-0.1147713027729595
m2_avg,M+2,2026-11,2026-11,5.636751293516196,5.636751293516196,13.386751293516197,13.386751293516197,widen,上升,ExtraTrees,ExtraTreesRegressor,ExtraTrees,enhanced,enhanced,enhanced,ex_stress,standard_deep,ex_stress_ExtraTrees_enhanced_standard_deep,True,True,equal_official_target,False,2026-09-09,-7.75,daily_refreshed_v17,2026-09-09,True,0.7692307692307693,strict_no_leakage,leakage_detected_not_official,official,0.5,False,False,0.7333333333333333,0.7333333333333333,0.5,strict_target_month_aggregate,11.0,15.0,strict_target_month_aggregate,0.65527950310559,strict_daily_asof,0.5,2.0870130936696154,2.4784510736275083,1.90194940858966,2.553841717370932,0.1114839463220607,0.0294860957454977,0.0250294620946023,0.0581361359989763
m3_avg,M+3,2026-12,2026-12,2.0862195189949744,2.0862195189949744,9.836219518994977,9.836219518994977,widen,上升,ExtraTrees,ExtraTreesRegressor,ExtraTrees,enhanced,enhanced,enhanced,ex_stress,ExtraTrees_p1,ex_stress_ExtraTrees_enhanced,True,True,equal_official_target,False,2026-09-09,-7.75,daily_refreshed_v17,2026-09-09,True,0.75,strict_no_leakage,leakage_detected_not_official,official,0.5,False,False,0.7692307692307693,0.7692307692307693,0.5,strict_target_month_aggregate,10.0,13.0,strict_target_month_aggregate,0.7328519855595668,strict_daily_asof,0.5,2.203595400975836,2.649100768099099,2.2250917492437523,2.759406641328832,0.3197955597931586,0.2823093572960525,0.3263669344544682,0.3109986747263186
